environment,method,planner_name,solved,valid_replay,plan_length,expanded,generated,grounded_actions,time_ms,raw_stdout,raw_stderr,plan_txt,metrics_json,trace_json,search_profile_json,plan_panel,plan_animation,blockworld_3d_panel,blockworld_3d_animation,fire_3d_panel,fire_3d_animation,robot_task_3d_panel,robot_task_3d_animation
BlocksEasy.txt,bfs,Breadth First Search,True,True,1,1,5,80,0.330549,outputs/runs/BlocksEasy/bfs/stdout.txt,outputs/runs/BlocksEasy/bfs/stderr.txt,outputs/runs/BlocksEasy/bfs/plan.txt,outputs/runs/BlocksEasy/bfs/metrics.json,outputs/runs/BlocksEasy/bfs/trace.json,outputs/runs/BlocksEasy/bfs/search_profile.json,outputs/visualizations/BlocksEasy/bfs/plan_panel.png,outputs/visualizations/BlocksEasy/bfs/plan_animation.gif,outputs/visualizations/BlocksEasy/bfs/blockworld_3d_panel.png,outputs/visualizations/BlocksEasy/bfs/blockworld_3d_animation.gif,,,,
BlocksEasy.txt,astar,A Star Search [delete-relaxation-relaxed-plan],True,True,1,1,5,80,0.718416,outputs/runs/BlocksEasy/astar/stdout.txt,outputs/runs/BlocksEasy/astar/stderr.txt,outputs/runs/BlocksEasy/astar/plan.txt,outputs/runs/BlocksEasy/astar/metrics.json,outputs/runs/BlocksEasy/astar/trace.json,outputs/runs/BlocksEasy/astar/search_profile.json,outputs/visualizations/BlocksEasy/astar/plan_panel.png,outputs/visualizations/BlocksEasy/astar/plan_animation.gif,outputs/visualizations/BlocksEasy/astar/blockworld_3d_panel.png,outputs/visualizations/BlocksEasy/astar/blockworld_3d_animation.gif,,,,
BlocksEasy.txt,astar_goal,A Star Search [unsatisfied-goals],True,True,1,1,5,80,0.326368,outputs/runs/BlocksEasy/astar_goal/stdout.txt,outputs/runs/BlocksEasy/astar_goal/stderr.txt,outputs/runs/BlocksEasy/astar_goal/plan.txt,outputs/runs/BlocksEasy/astar_goal/metrics.json,outputs/runs/BlocksEasy/astar_goal/trace.json,outputs/runs/BlocksEasy/astar_goal/search_profile.json,outputs/visualizations/BlocksEasy/astar_goal/plan_panel.png,outputs/visualizations/BlocksEasy/astar_goal/plan_animation.gif,outputs/visualizations/BlocksEasy/astar_goal/blockworld_3d_panel.png,outputs/visualizations/BlocksEasy/astar_goal/blockworld_3d_animation.gif,,,,
BlocksEasy.txt,astar_hadd,A Star Search [delete-relaxation-hadd],True,True,1,1,5,80,0.949785,outputs/runs/BlocksEasy/astar_hadd/stdout.txt,outputs/runs/BlocksEasy/astar_hadd/stderr.txt,outputs/runs/BlocksEasy/astar_hadd/plan.txt,outputs/runs/BlocksEasy/astar_hadd/metrics.json,outputs/runs/BlocksEasy/astar_hadd/trace.json,outputs/runs/BlocksEasy/astar_hadd/search_profile.json,outputs/visualizations/BlocksEasy/astar_hadd/plan_panel.png,outputs/visualizations/BlocksEasy/astar_hadd/plan_animation.gif,outputs/visualizations/BlocksEasy/astar_hadd/blockworld_3d_panel.png,outputs/visualizations/BlocksEasy/astar_hadd/blockworld_3d_animation.gif,,,,
BlocksEasy.txt,optimal,A Star Search [delete-relaxation-hmax],True,True,1,1,5,80,0.954145,outputs/runs/BlocksEasy/optimal/stdout.txt,outputs/runs/BlocksEasy/optimal/stderr.txt,outputs/runs/BlocksEasy/optimal/plan.txt,outputs/runs/BlocksEasy/optimal/metrics.json,outputs/runs/BlocksEasy/optimal/trace.json,outputs/runs/BlocksEasy/optimal/search_profile.json,outputs/visualizations/BlocksEasy/optimal/plan_panel.png,outputs/visualizations/BlocksEasy/optimal/plan_animation.gif,outputs/visualizations/BlocksEasy/optimal/blockworld_3d_panel.png,outputs/visualizations/BlocksEasy/optimal/blockworld_3d_animation.gif,,,,
BlocksEasy.txt,strong,A Star Search [delete-relaxation-hadd],True,True,1,1,5,80,0.942645,outputs/runs/BlocksEasy/strong/stdout.txt,outputs/runs/BlocksEasy/strong/stderr.txt,outputs/runs/BlocksEasy/strong/plan.txt,outputs/runs/BlocksEasy/strong/metrics.json,outputs/runs/BlocksEasy/strong/trace.json,outputs/runs/BlocksEasy/strong/search_profile.json,outputs/visualizations/BlocksEasy/strong/plan_panel.png,outputs/visualizations/BlocksEasy/strong/plan_animation.gif,outputs/visualizations/BlocksEasy/strong/blockworld_3d_panel.png,outputs/visualizations/BlocksEasy/strong/blockworld_3d_animation.gif,,,,
BlocksEasy.txt,weighted_ff,"Weighted A Star Search [w=5, delete-relaxation-relaxed-plan]",True,True,1,1,5,80,0.801186,outputs/runs/BlocksEasy/weighted_ff/stdout.txt,outputs/runs/BlocksEasy/weighted_ff/stderr.txt,outputs/runs/BlocksEasy/weighted_ff/plan.txt,outputs/runs/BlocksEasy/weighted_ff/metrics.json,outputs/runs/BlocksEasy/weighted_ff/trace.json,outputs/runs/BlocksEasy/weighted_ff/search_profile.json,outputs/visualizations/BlocksEasy/weighted_ff/plan_panel.png,outputs/visualizations/BlocksEasy/weighted_ff/plan_animation.gif,outputs/visualizations/BlocksEasy/weighted_ff/blockworld_3d_panel.png,outputs/visualizations/BlocksEasy/weighted_ff/blockworld_3d_animation.gif,,,,
BlocksEasy.txt,greedy_ff,Greedy Best First Search [delete-relaxation-relaxed-plan],True,True,1,1,5,80,1.15738,outputs/runs/BlocksEasy/greedy_ff/stdout.txt,outputs/runs/BlocksEasy/greedy_ff/stderr.txt,outputs/runs/BlocksEasy/greedy_ff/plan.txt,outputs/runs/BlocksEasy/greedy_ff/metrics.json,outputs/runs/BlocksEasy/greedy_ff/trace.json,outputs/runs/BlocksEasy/greedy_ff/search_profile.json,outputs/visualizations/BlocksEasy/greedy_ff/plan_panel.png,outputs/visualizations/BlocksEasy/greedy_ff/plan_animation.gif,outputs/visualizations/BlocksEasy/greedy_ff/blockworld_3d_panel.png,outputs/visualizations/BlocksEasy/greedy_ff/blockworld_3d_animation.gif,,,,
Blocks.txt,bfs,Breadth First Search,True,True,3,20,28,80,0.662987,outputs/runs/Blocks/bfs/stdout.txt,outputs/runs/Blocks/bfs/stderr.txt,outputs/runs/Blocks/bfs/plan.txt,outputs/runs/Blocks/bfs/metrics.json,outputs/runs/Blocks/bfs/trace.json,outputs/runs/Blocks/bfs/search_profile.json,outputs/visualizations/Blocks/bfs/plan_panel.png,outputs/visualizations/Blocks/bfs/plan_animation.gif,outputs/visualizations/Blocks/bfs/blockworld_3d_panel.png,outputs/visualizations/Blocks/bfs/blockworld_3d_animation.gif,,,,
Blocks.txt,astar,A Star Search [delete-relaxation-relaxed-plan],True,True,3,3,17,80,1.44001,outputs/runs/Blocks/astar/stdout.txt,outputs/runs/Blocks/astar/stderr.txt,outputs/runs/Blocks/astar/plan.txt,outputs/runs/Blocks/astar/metrics.json,outputs/runs/Blocks/astar/trace.json,outputs/runs/Blocks/astar/search_profile.json,outputs/visualizations/Blocks/astar/plan_panel.png,outputs/visualizations/Blocks/astar/plan_animation.gif,outputs/visualizations/Blocks/astar/blockworld_3d_panel.png,outputs/visualizations/Blocks/astar/blockworld_3d_animation.gif,,,,
